date,xi_bear_p1,xi_bull_p1,xi_bear_p2,xi_bull_p2,bear_p1,bear_p2,bear_mst,adbear
2008-05,1.8981601411397224e-10,0.999999999810184,0.9999935729454468,6.427054553184284e-06,0,1,0,-1.259140082
2008-06,1.0,3.0204594254760966e-44,1.0,3.2259837808150235e-21,1,1,0,0.251980238
2008-07,1.0,1.8289376921064758e-50,1.0,5.158266023739849e-76,1,1,1,1.426167714
2008-08,1.0,2.1668182572923154e-27,1.0,3.8340376274436605e-36,1,1,0,-0.778730955
2008-09,1.0,1.4155339017887204e-69,1.0,3.504107107597277e-82,1,1,0,-0.037270862
2008-10,1.0,2.6675321203473696e-101,1.0,1.275578569650097e-90,1,1,1,3.055520381
2008-11,1.0,1.6536355907145645e-90,1.0,4.652152690511832e-59,1,1,1,1.333282686
2008-12,1.0,1.0343365172195866e-18,1.0,5.1456005138879114e-33,1,1,1,0.872720173
2009-01,2.624999417680849e-87,1.0,1.0,1.3312336164141751e-74,0,1,0,-1.519138543
2009-02,1.6922145945727192e-37,1.0,1.0,1.8448343756769407e-29,0,1,1,0.3683971
2009-03,1.0,6.109221020064686e-100,1.0,2.9082171317170133e-71,1,1,1,2.011463158
2009-04,1.0,3.244048011731748e-191,1.0,2.8132625217579356e-297,1,1,0,-1.687437591
2009-05,3.3412090776325545e-17,1.0,1.0,7.533832801590621e-52,0,1,0,-1.590785781
2009-06,3.552624309051042e-14,0.9999999999999646,0.999999999999363,6.370438964483414e-13,0,1,0,-1.14930135
2009-07,2.7345545781879446e-16,0.9999999999999998,2.0211968766993273e-11,0.999999999979788,0,0,0,0.313121818
2009-08,2.018267019650992e-80,1.0,1.0,5.088274209244701e-34,0,1,0,-1.746728
2009-09,1.1787526372125996e-20,1.0,1.151504682484707e-05,0.9999884849531752,0,0,0,-0.487326214
2009-10,4.965854297451758e-31,1.0,8.739535653212095e-14,0.9999999999999126,0,0,0,-0.829513838
2009-11,4.447733228398206e-11,0.9999999999555227,1.1380331325847066e-24,1.0,0,0,0,-0.099638936
2009-12,3.7503486160865004e-22,1.0,1.804645565238954e-16,0.9999999999999998,0,0,0,-1.47450265
2010-01,0.9832135265366786,0.016786473463321513,2.6399967926951334e-17,1.0,1,0,0,-1.514384636
2010-02,5.051989588953611e-15,0.9999999999999949,1.5068953718451373e-14,0.999999999999985,0,0,1,1.320539553
2010-03,3.625029108906159e-13,0.9999999999996375,2.4148571779741876e-23,1.0,0,0,0,-1.174715053
2010-04,2.2544791694775487e-27,1.0,1.805264228552376e-07,0.9999998194735772,0,0,0,-1.74358887
2010-05,8.34288391771736e-34,1.0,1.355891474693926e-27,1.0,0,0,1,1.669016668
2010-06,3.30480353163748e-23,1.0,1.6534632057377689e-21,1.0,0,0,1,0.9826326
2010-07,1.127761650864252e-19,1.0,1.1367178856060876e-25,1.0,0,0,1,0.755380136
2010-08,7.95344875389353e-18,1.0,4.38414837752284e-19,1.0,0,0,0,-1.537959681
2010-09,2.0053876708651557e-40,1.0,5.3461896806711493e-20,1.0,0,0,0,0.156748864
2010-10,6.080086136844061e-25,1.0,1.3910785750643103e-14,0.9999999999999861,0,0,0,-1.621399476
2010-11,7.672213650410787e-14,0.9999999999999233,6.2336765658969585e-19,1.0,0,0,0,-1.229874157
2010-12,1.3046167391217557e-18,1.0,9.057947697973748e-22,1.0,0,0,0,-0.557445911
2011-01,1.409899762901956e-15,0.9999999999999986,1.059872504586839e-13,0.9999999999998941,0,0,0,-1.410342818
2011-02,5.158953698960048e-20,1.0,2.4855778839266097e-18,1.0,0,0,0,-1.2105133
2011-03,5.424108398888139e-22,1.0,1.0000017258031554e-19,1.0,0,0,0,-0.217719211
2011-04,4.64973255616422e-20,1.0,1.1309225113473587e-19,1.0,0,0,0,-0.81867213
2011-05,1.2539002585093967e-15,0.9999999999999988,1.4339691264651603e-22,1.0,0,0,0,-0.6052787
2011-06,1.6653743481322553e-15,0.9999999999999983,1.3106980283741751e-27,1.0,0,0,1,1.142242148
2011-07,4.010981480141417e-19,1.0,2.3837614078210233e-12,0.9999999999976162,0,0,0,-1.010653909
2011-08,1.2977824764992698e-36,1.0,1.2776484801130183e-24,1.0,0,0,1,2.7624162
2011-09,2.92549543528634e-56,1.0,4.6299236671570715e-12,0.99999999999537,0,0,1,0.943206783
2011-10,9.685867837911127e-70,1.0,1.0,3.6936509141318986e-21,0,1,1,0.416669095
2011-11,1.7736950500956966e-14,0.9999999999999822,3.826282091664845e-19,1.0,0,0,0,-1.155176333
2011-12,2.174168025667644e-14,0.9999999999999782,9.356304144802841e-21,1.0,0,0,0,-0.239740833
2012-01,2.4103434667582676e-20,1.0,3.9388242024685553e-13,0.9999999999996061,0,0,0,-1.170163333
2012-02,9.110429299290223e-11,0.9999999999088957,2.0632582091778825e-17,1.0,0,0,0,-1.65237425
2012-03,2.5829644949835808e-11,0.9999999999741703,2.357991946602116e-09,0.9999999976420081,0,0,0,-1.05174729
2012-04,3.079426687060015e-14,0.9999999999999692,1.6498755125390228e-27,1.0,0,0,0,-1.000631073
2012-05,4.316845198317783e-24,1.0,1.895819787751926e-13,0.9999999999998104,0,0,0,0.18655856
2012-06,1.4809038576578357e-17,1.0,0.007966700685962298,0.9920332993140377,0,0,1,1.073738948
2012-07,1.5650954844543712e-12,0.9999999999984348,2.48571366264821e-20,1.0,0,0,0,-1.194585286
2012-08,7.809299796335289e-13,0.9999999999992191,3.5370016752127006e-17,1.0,0,0,0,-0.830056762
2012-09,3.5800976584105234e-13,0.9999999999996421,5.6689351045169116e-21,1.0,0,0,0,-0.987983883
2012-10,1.5965624883405902e-20,1.0,7.156868716828346e-08,0.9999999284313128,0,0,0,-0.925795368
2012-11,6.723951858711847e-12,0.9999999999932762,1.9382316370368223e-17,1.0,0,0,1,0.590357933
2012-12,6.595199384240655e-20,1.0,1.3804048002848058e-25,1.0,0,0,0,-0.382134895
2013-01,1.7224140342487498e-15,0.9999999999999982,7.473438140770687e-15,0.9999999999999925,0,0,0,-1.01245183
2013-02,3.378123639494683e-15,0.9999999999999967,1.2631379550864615e-30,1.0,0,0,0,-1.631056
2013-03,1.2827294355217761e-14,0.9999999999999871,1.976188280198305e-26,1.0,0,0,0,-0.565266579
2013-04,2.460069609117566e-12,0.99999999999754,2.728978821562863e-17,1.0,0,0,0,-0.721234
2013-05,6.623516130634866e-15,0.9999999999999934,1.7951568059486612e-15,0.9999999999999981,0,0,0,-0.880968455
2013-06,1.5947653660688186e-13,0.9999999999998406,6.529541617841154e-19,1.0,0,0,0,-0.123650709
2013-07,3.646056162639082e-12,0.999999999996354,2.739983830275849e-20,1.0,0,0,0,-0.1458965
2013-08,7.257628955180107e-18,1.0,1.0840348574711688e-28,1.0,0,0,0,-1.801163364
2013-09,3.7830567745614526e-18,1.0,2.0921115423519453e-30,1.0,0,0,1,0.428039045
2013-10,3.3625096897372766e-17,1.0,4.459976603739076e-25,1.0,0,0,0,-0.69533808
2013-11,6.705773868529358e-20,1.0,9.636541949996516e-08,0.9999999036345806,0,0,0,-1.56781313
2013-12,8.403373108409954e-15,0.9999999999999917,8.247196185082136e-28,1.0,0,0,0,-0.8535167
2014-01,5.152632447475256e-16,0.9999999999999996,6.015311395442546e-12,0.9999999999939847,0,0,0,-1.053139567
2014-02,9.939345977823143e-13,0.9999999999990061,7.033305262836797e-25,1.0,0,0,1,1.779849324
2014-03,1.1503753642147905e-16,0.9999999999999999,7.785928041352776e-27,1.0,0,0,0,-1.804045316
2014-04,1.932998198200806e-24,1.0,2.713011932846789e-28,1.0,0,0,0,-0.504887629
2014-05,7.128529215996814e-13,0.9999999999992872,6.096212578974163e-26,1.0,0,0,0,-0.57374619
2014-06,1.024613048420872e-14,0.9999999999999898,2.6713628980776827e-19,1.0,0,0,0,-1.476759905
2014-07,1.576470786710796e-22,1.0,2.1329926084531625e-17,1.0,0,0,0,-1.347574462
2014-08,5.894466583806417e-15,0.999999999999994,1.0274729211210468e-26,1.0,0,0,1,1.468407364
2014-09,3.2170364000278566e-22,1.0,1.6992323400148458e-22,1.0,0,0,0,-1.72034381
2014-10,1.2223634076373122e-22,1.0,0.9999888732212322,1.1126778767779747e-05,0,1,1,0.59837949
2014-11,6.320629531264251e-06,0.9999936793704688,6.110236649609987e-18,1.0,0,0,0,-0.532965404
2014-12,1.631357385020972e-14,0.9999999999999837,2.2448394406849964e-10,0.9999999997755161,0,0,0,-1.204171789
2015-01,2.3074487141313213e-14,0.9999999999999769,3.127816200524807e-18,1.0,0,0,1,1.859633452
2015-02,1.1317029927520448e-11,0.9999999999886829,1.1495384330222392e-17,1.0,0,0,0,-0.20314385
2015-03,8.604940226488269e-18,1.0,1.1765500577472417e-23,1.0,0,0,0,-1.091320637
2015-04,3.356225555102143e-31,1.0,3.079435342655016e-26,1.0,0,0,0,0.128371636
2015-05,6.564037840766302e-21,1.0,9.987177706473944e-21,1.0,0,0,0,-0.71933091
2015-06,4.728880306100346e-16,0.9999999999999996,1.720426290940188e-17,1.0,0,0,0,-0.4652108
2015-07,4.52198793588314e-45,1.0,6.418532957766259e-10,0.9999999993581467,0,0,1,0.501780705
2015-08,3.3796907461871627e-19,1.0,1.9676587307484005e-18,1.0,0,0,0,-0.310995364
