date,BM,MOM,HP,BASIS
1996-01-24,-0.01955777939615179,0.03162808866851342,0.01782460172816516,-0.008713775041412825
1996-01-31,-0.01894129782674757,0.02008571435897966,0.00022208257650271207,0.02197320036989607
1996-02-07,-0.010345798575288202,-0.013767983834644197,0.004674485829730193,0.0003605237422479781
1996-02-14,-0.018464682015968247,0.030470557617702974,0.005130865100250492,0.011190261126409506
1996-02-21,-0.002130996811287358,0.011288205041972487,0.022257432574612504,0.002697358188328787
1996-02-28,-0.003103702241754479,-0.011571172342184811,0.005198226425750069,-0.001159670428359674
1996-03-06,-0.024806252037680422,-0.011904044428812124,-0.023272456376468006,0.005209936457812271
1996-03-13,-0.00946750555393873,0.014441299726448822,0.010073579354794858,-0.01828554610378874
1996-03-20,-0.01485160045761726,0.01596726036705299,0.009128346098949034,0.0002891343316122237
1996-03-27,0.013434043834878697,-0.019943362572065346,0.043634093427895974,0.038004167393096616
1996-04-03,-0.03001502848572668,-0.005186759730553667,-0.01953482134278038,-0.004533725944693707
1996-04-10,0.00881376870020651,0.005696940513132229,0.043489712922105975,0.02973730542899118
1996-04-17,-0.012268703743420643,-0.008536887825352772,-0.014919190905224169,-0.008827637033817094
1996-04-24,-0.007746260042594658,0.05251155350025297,0.028993683948662665,-0.006672644020726978
1996-05-01,-0.0036426685518590393,-0.04123387501724922,-0.01459391014362627,-0.0010684312394303166
1996-05-08,0.008984174471168517,-0.05316829600372769,-0.006361581420683106,0.0033862247160835954
1996-05-15,-0.007088758945609584,0.027073440847821137,-0.012027264971659513,0.011859546707277777
1996-05-22,-0.024667092157715342,0.015969015933917387,-0.01762654066228081,0.023793081694120574
1996-05-29,0.003228559154285886,-0.021552519153585994,0.0019665094065768477,-0.005760148822561422
1996-06-05,-0.02734424346802838,0.00856968805549596,-0.002734772948181814,-0.0012637667761675603
1996-06-12,0.007724681879957989,0.003316618885891603,-0.006149231849640197,0.026734871825454306
1996-06-19,-0.00666635830404921,-0.04336259937864719,-0.0017465546953283405,-0.00448952668010031
1996-06-26,-0.007837862084119301,-0.0008533217378261897,-0.005729379892568389,0.0397897590103752
1996-07-03,0.021024852772640552,0.03869853777317137,0.02742380329798903,-0.007740696260416706
1996-07-10,-0.004838236734334984,-0.021769433028307965,0.0029391183261448413,-0.001430587405652467
1996-07-17,0.007369528798137438,-0.012504268681427212,0.015823567935098745,-0.005424117982861132
1996-07-24,-0.034585368030004,-0.014891685667970236,0.012656666083773811,0.004262853432190463
1996-07-31,-0.004001942740920354,-0.01022207675954707,0.0071860800389039504,-0.016041896670362453
1996-08-07,-0.001716068289230148,-0.01107132042530333,-0.010073233231528485,-0.0005392310951120929
1996-08-14,-0.03587609868465526,0.005987824166039018,0.011024002986365638,-0.025506299641420295
1996-08-21,-0.0018158116732009287,-0.021484789576158254,0.02140047524738596,-0.019748693121687137
1996-08-28,0.012170365513816117,0.01448580639386603,-0.005917431980426504,0.009396055480387437
1996-09-04,0.00490255070638845,-0.0010458326799578296,0.024311446652130662,0.00018442657630482126
1996-09-11,-0.019195837698526366,0.0545153471861915,-0.0007827483315909524,0.004539201604521793
1996-09-18,0.005637807589824455,0.008560545543862617,-0.006525837740514545,0.005044416579766394
1996-09-25,-0.0027493031518510385,0.01961908198511718,0.032263812191390975,0.015064316037573
1996-10-02,0.003684105898622006,-0.004011281413615404,0.035054235427002055,0.011099590613650014
1996-10-09,0.0077387495596944415,0.04190022830295237,0.010393320215292982,-0.01152221227916597
1996-10-16,0.00024010164046187965,0.043732143356704375,0.00540470857669548,-0.002399197176122291
1996-10-23,-0.011527971648069193,0.023729177131516125,0.001261860481749831,-0.004228683818559021
