date,CUR1,CUR2,CUR3,rCURR
1996-12-11,-0.005698107285665558,0.001086154430693026,-0.010550381966440208,-0.00485227468077465
1996-12-18,5.5257472387534e-05,-0.0031725183599881383,0.0021295135387483016,0.0020742560663607676
1996-12-25,-0.00042156775129899705,-0.0033445591481521177,-0.00029784464989181996,0.0001237231014071771
1997-01-01,0.0013297079204634516,-0.0033968001348010663,-0.004286454912643159,-0.005616162833106611
1997-01-08,-0.0023846729788472606,0.0008231323004691941,-0.006224627003899147,-0.003839954025051886
1997-01-15,0.003960950288451659,0.003547740969036121,-0.003956636794611311,-0.00791758708306297
1997-01-22,-0.006751753020058006,-0.0007983454193628613,0.0006914204716936643,0.00744317349175167
1997-01-29,-0.002766917288894187,-0.0013010383282607658,-0.00795352955106564,-0.005186612262171453
1997-02-05,0.0029195806774503967,0.0027281170024293522,-0.003739542460011687,-0.006659123137462084
1997-02-12,-0.008708580664825497,0.005658457195215849,-0.0039429199615621,0.004765660703263397
1997-02-19,-0.006558344153222536,-0.0031802717483361744,0.0028859952648379655,0.009444339418060502
1997-02-26,-0.002112169711777189,-0.0003712256554021785,0.003950663645617268,0.006062833357394457
1997-03-05,-0.008076208868510647,-0.011255082084814839,0.004411893211784811,0.012488102080295459
1997-03-12,0.0046984950968872955,0.004787386575277864,0.003365189365475213,-0.0013333057314120827
1997-03-19,-0.0033433067160548455,-0.0027798550752230174,-0.0102844023062524,-0.0069410955901975544
1997-03-26,0.0011189767858474796,-0.0020827150198567098,-0.0018689333416951927,-0.0029879101275426725
1997-04-02,-0.009118055007370897,-0.001625482420497855,-0.00010967940448082828,0.009008375602890068
1997-04-09,-0.008157545241258442,-0.004959479056659521,-0.00206082483737135,0.006096720403887092
1997-04-16,-0.005457763106384434,-0.00327433066805976,-0.00791259997765068,-0.002454836871266246
1997-04-23,-0.0011525608779255924,0.0002441890117547904,0.0038631631145113485,0.005015723992436941
1997-04-30,-0.0059946441173346025,-0.0032437787096306304,-0.0024413016806827652,0.003553342436651837
1997-05-07,0.0013012874784302344,-0.0008835218932975932,-0.004761162829067853,-0.006062450307498087
