year,month,port_label,n_stocks
2011,10,BM_HP_2_2,68
2011,10,BM_HP_2_3,40
2011,10,BM_HP_3_1,55
2011,10,BM_HP_3_2,58
2011,10,BM_HP_3_3,43
2011,10,BM_HP_4_1,57
2011,10,BM_HP_4_2,57
2011,10,BM_HP_4_3,42
2011,10,BM_HP_5_1,47
2011,10,BM_HP_5_2,69
2011,10,BM_HP_5_3,40
2011,10,BM_Q1,77
2011,10,BM_Q10,78
2011,10,BM_Q2,78
2011,10,BM_Q3,78
2011,10,BM_Q4,78
2011,10,BM_Q5,78
2011,10,BM_Q6,78
2011,10,BM_Q7,78
2011,10,BM_Q8,78
2011,10,BM_Q9,78
2011,10,HP_MOM_1_1,38
2011,10,HP_MOM_1_2,67
2011,10,HP_MOM_1_3,49
2011,10,HP_MOM_1_4,47
2011,10,HP_MOM_1_5,37
2011,10,HP_MOM_2_1,75
2011,10,HP_MOM_2_2,49
2011,10,HP_MOM_2_3,66
2011,10,HP_MOM_2_4,71
2011,10,HP_MOM_2_5,84
2011,10,HP_MOM_3_1,40
2011,10,HP_MOM_3_2,37
2011,10,HP_MOM_3_3,38
2011,10,HP_MOM_3_4,35
2011,10,HP_MOM_3_5,32
2011,10,HP_Q1,185
2011,10,HP_Q2,8
2011,10,HP_Q3,399
2011,10,HP_Q4,176
2011,10,HP_Q5,11
2011,10,MOM_BASIS_1_1,48
2011,10,MOM_BASIS_1_2,23
2011,10,MOM_BASIS_1_3,82
2011,10,MOM_BASIS_2_1,54
2011,10,MOM_BASIS_2_2,36
2011,10,MOM_BASIS_2_3,63
2011,10,MOM_BASIS_3_1,44
2011,10,MOM_BASIS_3_2,27
2011,10,MOM_BASIS_3_3,82
2011,10,MOM_BASIS_4_1,38
2011,10,MOM_BASIS_4_2,34
2011,10,MOM_BASIS_4_3,81
2011,10,MOM_BASIS_5_1,38
2011,10,MOM_BASIS_5_2,23
2011,10,MOM_BASIS_5_3,92
2011,10,MOM_BM_1_1,35
2011,10,MOM_BM_1_2,34
2011,10,MOM_BM_1_3,23
2011,10,MOM_BM_1_4,29
2011,10,MOM_BM_1_5,32
2011,10,MOM_BM_2_1,29
2011,10,MOM_BM_2_2,36
2011,10,MOM_BM_2_3,35
2011,10,MOM_BM_2_4,33
2011,10,MOM_BM_2_5,20
2011,10,MOM_BM_3_1,26
2011,10,MOM_BM_3_2,26
2011,10,MOM_BM_3_3,45
2011,10,MOM_BM_3_4,32
2011,10,MOM_BM_3_5,24
2011,10,MOM_BM_4_1,20
2011,10,MOM_BM_4_2,27
