date,xi_bear_p1,xi_bull_p1,xi_bear_p2,xi_bull_p2,bear_p1,bear_p2,bear_mst,adbear
2004-07,0.0021314572561669624,0.9978685427438331,3.0998676885439063e-09,0.9999999969001324,0,0,0,-0.31930911
2004-08,2.9498874630154667e-06,0.999997050112537,6.8036546364290565e-09,0.9999999931963455,0,0,1,0.426859152
2004-09,2.792275312333479e-13,0.9999999999997207,1.0,4.921124050760486e-30,0,1,0,-1.084119545
2004-10,0.9999999999995466,4.534687441087604e-13,0.986785679321608,0.013214320678391987,1,1,0,-1.081753671
2004-11,1.0,7.528816870323359e-32,0.9999999986203965,1.3796035372382653e-09,1,1,0,-0.245906571
2004-12,0.9999999999981654,1.834658539128073e-12,0.9996760008401163,0.0003239991598836454,1,1,0,-1.576741714
2005-01,0.9999999944120914,5.587908533666538e-09,2.5455213071903018e-14,0.9999999999999746,1,0,1,0.206033591
2005-02,3.781486108760193e-53,1.0,0.9999999999999999,1.5469286548064379e-16,0,1,0,-0.8308094
2005-03,1.9766516945924697e-29,1.0,5.404532465578586e-08,0.9999999459546753,0,0,0,-0.905202368
2005-04,5.626653826088484e-17,1.0,0.00013006716982215502,0.9998699328301778,0,0,1,0.461911045
2005-05,2.487433465247609e-06,0.9999975125665347,1.3300519259722477e-10,0.9999999998669948,0,0,1,0.3237249
2005-06,4.225095442877525e-25,1.0,0.999999999890379,1.0962096210736774e-10,0,1,0,-1.220145695
2005-07,7.0468113627234684e-09,0.9999999929531886,1.6116758945530507e-09,0.9999999983883241,0,0,0,-0.244009727
2005-08,1.105374324992228e-30,1.0,0.999531548114014,0.0004684518859860424,0,1,0,-1.29438445
2005-09,1.4750309417462811e-16,0.9999999999999999,0.9999951069406007,4.8930593994164255e-06,0,1,0,-0.256643687
2005-10,7.805504110073983e-28,1.0,1.0,5.633664901650513e-18,0,1,1,0.950981471
2005-11,2.763076325432369e-26,1.0,0.00011513932039796102,0.9998848606796021,0,0,0,-0.598425
2005-12,0.9999999311935845,6.880641551673805e-08,1.2037942936931904e-13,0.9999999999998797,1,0,0,-1.595088
2006-01,0.999999999998668,1.3320063027287182e-12,0.9997557361533816,0.00024426384661835457,1,1,0,-0.680989157
2006-02,3.435526759747452e-10,0.9999999996564473,0.006563237178392591,0.9934367628216073,0,0,1,0.29212215
2006-03,3.2376720406648963e-18,1.0,1.6292799731329833e-07,0.9999998370720027,0,0,0,-0.779821368
2006-04,1.5998566294582483e-22,1.0,0.9999980853830119,1.914616988104504e-06,0,1,0,-0.791043435
2006-05,0.9999999996653323,3.346677320629888e-10,4.075308283894914e-09,0.9999999959246917,1,0,0,-0.496539421
2006-06,0.9999999999998656,1.345286824135265e-13,3.3018005330336053e-18,1.0,1,0,1,1.697152223
2006-07,4.363657187513701e-25,1.0,0.9973647344913693,0.002635265508630718,0,1,0,-0.37883061
2006-08,8.94444708763328e-19,1.0,0.9609591662647201,0.03904083373527985,0,1,0,-0.278971145
2006-09,0.9999999997238374,2.7616259531622627e-10,3.359577044125647e-08,0.9999999664042296,1,0,0,-1.281120519
2006-10,6.094716078002937e-24,1.0,2.1575214020926784e-08,0.9999999784247859,0,0,0,-1.30984315
2006-11,1.026402286817392e-17,1.0,3.249136917917932e-08,0.9999999675086308,0,0,0,-0.980414273
2006-12,1.791514777882893e-13,0.9999999999998208,5.599451954556951e-12,0.9999999999944006,0,0,0,-1.217957829
2007-01,1.2620183190684827e-09,0.9999999987379817,1.2431668858859644e-11,0.9999999999875683,0,0,0,-0.49750455
2007-02,0.9999999999234847,7.651533841501892e-11,9.763628657385387e-16,0.999999999999999,1,0,0,-1.39364077
2007-03,0.9999986204346685,1.3795653315288865e-06,2.7608518235629845e-15,0.9999999999999973,1,0,1,5.109939118
2007-04,0.9999999915844142,8.41558570298451e-09,3.8623466296440153e-20,1.0,1,0,0,-0.7937061
2007-05,0.9999999999407999,5.920012831510538e-11,9.120545261641095e-10,0.9999999990879455,1,0,0,-1.4999958
