date,xi_bear_p1,xi_bear_p2,xi_bear_p3,xi_bear_p4,bear_mst
2002-10,6.951441838469416e-08,1.1333131798878646e-07,0.00010025074221196345,6.281455189934866e-09,0
2002-11,0.0005715350580920902,0.009749664350026556,0.9999474612827055,0.9810467358381586,0
2002-12,4.5928658508104946e-08,1.4009470569868905e-08,1.6525298663126264e-07,0.9999879611238316,0
2003-01,6.43343400942471e-08,4.928149356224707e-05,0.0026427703353973184,0.9988204243138449,1
2003-02,9.822501477840963e-10,3.587205175713048e-12,4.140390855701024e-09,0.9999993185546431,0
2003-03,3.3417443481552446e-10,3.764602701366209e-05,1.5502899066153981e-12,3.397803779365753e-08,0
2003-04,0.0027992482378380616,0.9988149156102809,0.9847009834340549,0.0013579756497640468,0
2003-05,0.0037514849834509884,0.9999913750268753,0.9982381395293565,0.04732891952237481,0
2003-06,1.0127128046581892e-08,9.632690782389264e-06,0.12744903343724442,0.00684842655431067,0
2003-07,7.775539791523784e-15,3.643894387478268e-08,0.001358840058668959,0.005712875937473312,1
2003-08,5.264950283322344e-06,0.00018572097028578705,0.005264194596321986,0.6467087907829611,0
2003-09,2.8484841923841672e-08,7.544773147857287e-05,1.2300761507075657e-08,2.889509160173131e-07,1
2003-10,7.103754563510412e-07,0.0003725831828142729,0.9999965311013749,0.997269191743183,0
2003-11,9.202782903051304e-09,1.5016319628676657e-07,0.0030554286184901647,0.02182515219325685,0
2003-12,3.372117211771637e-58,3.2567213714398906e-42,4.21699413155318e-60,2.6869337741202755e-30,0
2004-01,4.010168253395273e-20,1.3205918203773556e-11,4.1571422411760135e-19,1.5983378849004755e-14,0
2004-02,2.356217939646148e-06,6.836686134523178e-06,0.9938881467646302,0.42273625091639844,0
2004-03,0.0001805980836799035,0.00011310206738465552,0.9995497365558986,3.565317851433792e-06,1
2004-04,1.5319141526850127e-08,1.6951219832223854e-08,0.9997031291404578,5.538435539636452e-20,1
2004-05,4.793191708269581e-06,6.993925643810399e-06,5.611551153016826e-05,0.005004935097522598,0
2004-06,1.5859883562075248e-06,8.883227692302496e-07,6.050807176174528e-05,0.0009237685080406651,0
2004-07,5.545440137534046e-11,6.295921910566113e-08,1.1099850045549062e-11,0.9999945259794553,1
2004-08,4.008323237343985e-07,3.396284292861491e-05,0.10388122082412816,0.3058926577988981,0
2004-09,1.9468631780306853e-11,1.0715588130806905e-09,8.148766687943198e-08,0.0008395643338497111,0
2004-10,8.964623637805437e-08,7.131945818985206e-08,0.0033100896643674326,0.012757832877910802,0
2004-11,3.2577225062611217e-09,1.2855842054058736e-10,0.013158511684605254,4.8585530376262064e-11,0
2004-12,2.4515070512494865e-07,2.7735741340042093e-06,0.0005457537590244631,1.937704366919382e-05,1
2005-01,5.827887065092633e-06,2.3603846204708722e-05,0.002040244275761155,3.898842455909767e-07,0
2005-02,8.19871994919536e-09,1.7820338275263045e-08,7.226643861030947e-08,0.0003237311985348763,0
2005-03,2.2538835551943716e-08,6.22369021384182e-08,0.3056187159228356,0.002178031008630737,1
2005-04,0.0016339524401462237,0.005069438647756068,0.0009956499737829964,0.06906683241180891,1
2005-05,3.0300883483756907e-07,1.0482450780152316e-06,0.04883189368925587,0.4824941867340187,0
2005-06,2.2672104212371124e-08,3.722060673350259e-07,7.210385848549383e-06,2.6998997988536257e-05,0
2005-07,8.143496942339711e-07,0.0019422703578137405,7.237505865139202e-05,0.9199306587027307,0
2005-08,1.5621922635610547e-08,1.2341257500369192e-09,1.1518825949016746e-07,0.9999999998239766,0
2005-09,7.932264015135046e-06,1.8047231232054546e-05,0.00214922089201066,4.630210210638524e-07,1
2005-10,0.0005181021014566292,0.03536946928621467,6.074285152938528e-05,2.0131427179458786e-09,0
2005-11,2.4740353875924416e-06,3.10877312983375e-05,0.9988919822164235,1.2721208762119776e-08,0
2005-12,4.703776206129199e-10,5.915710224254702e-09,0.00012265873965727859,0.00033160985353918016,0
2006-01,2.5924521692138516e-16,1.7365839513871911e-13,1.754451291921221e-12,2.2739342121327504e-06,1
2006-02,1.6644564689607937e-06,3.35518480256846e-06,0.04998878106582928,0.1216892707851835,0
2006-03,5.770577582375849e-10,3.9492255096643414e-08,0.0010898367874820811,1.7518696797014325e-05,0
2006-04,8.172318162980224e-17,1.5016630550974571e-15,4.6512087691325274e-08,5.737701015366249e-13,0
2006-05,5.671513970829549e-09,2.9013401631134636e-06,0.9996732155345865,0.051253874354374285,1
2006-06,7.129596635143959e-10,1.7932101004842215e-09,0.9782710709842268,1.0586322904384892e-06,0
2006-07,1.2126843278248326e-05,1.2063779416969831e-05,0.019695884221093293,0.0024956946813170897,0
2006-08,2.100095265111404e-09,1.0954279959543948e-05,8.611033330165313e-08,0.00017195756037576208,0
2006-09,9.447555977691386e-10,1.554859831095641e-08,0.0005513705777231778,0.028943880150355553,0
2006-10,4.880615442434246e-21,5.464441093880443e-22,5.543474274691465e-32,9.68132172378452e-29,0
2006-11,4.924759319377539e-10,2.53985392549194e-08,0.8332355449914431,0.0025685638931732843,0
2006-12,6.791841049993216e-07,1.8360579082049058e-06,0.0003556666275339118,0.026800583381259062,0
2007-01,3.8630180559693143e-07,6.139673738866037e-08,3.1084613478066364e-05,0.000634296468612356,0
2007-02,1.618612053026901e-05,7.876505185012408e-06,0.8886228478737613,0.4507116633562326,1
2007-03,2.767193671496492e-07,8.491668465473005e-08,0.0031237649613165097,0.016887974674405826,0
2007-04,4.914725307698241e-11,3.298810326743622e-06,0.9942788502577883,0.014865601817440875,0
2007-05,5.513500277151808e-09,7.589241916731977e-06,0.022739449503440985,0.9390869669714513,0
2007-06,5.911320302439855e-13,9.522846932416103e-09,0.0005203277414948385,5.225579797916445e-06,1
2007-07,2.5612310045548912e-06,0.0024991574288792517,0.00035245303815445737,0.9994677585823626,1
2007-08,1.989027683270738e-07,8.200614845121191e-07,0.991830481119689,0.0010852252453392246,0
2007-09,6.645984361877438e-06,0.9866016088881576,0.9999999854080157,0.9999999981223783,0
2007-10,1.856062969043999e-06,1.719415319674947e-06,0.9999015229086552,0.9987113893038146,1
2007-11,0.00016452772809967997,4.846107918427487e-08,0.9861273075466648,3.4961124702924195e-07,0
2007-12,0.00010477191117385133,0.0011890831105574584,0.020493307746338413,0.9945425621484103,1
2008-01,0.9996314705355155,0.9999939854216279,0.00029097879612713867,1.8105524550344035e-05,1
2008-02,1.6512669137214262e-29,2.4141846671577808e-15,6.79108768061103e-21,2.1397118168430757e-27,1
2008-03,3.9437043123728494e-14,8.952970355249245e-07,4.634449358237122e-12,1.4731065580258186e-09,0
2008-04,7.118897783614546e-17,4.9662956414622e-07,2.6423495266875963e-06,0.00030351742136451007,0
2008-05,8.242759887489144e-11,6.62679799441769e-07,1.0814819899328327e-06,1.300508733346361e-13,1
2008-06,0.9999999999862771,0.9999998061843762,3.2657663778373263e-09,0.005271123047073926,1
2008-07,0.9999999999999445,0.9999999999644397,1.1781628153599239e-09,1.3253073999841646e-05,0
2008-08,0.9987196809701311,0.0010439455724275265,0.9999919197208896,0.9101464467505483,0
2008-09,5.935177479708628e-10,1.0027637050510226e-07,8.00331670853188e-17,2.0698347177505475e-11,1
2008-10,1.0,1.0,1.0,1.0,1
2008-11,0.9999999965000694,0.9999999999998139,0.9999999998590848,0.9999896893509898,1
2008-12,1.0,1.0,1.0,0.9999999999999952,0
2009-01,0.9999999970719865,0.9999999832935746,0.9999958776226795,0.9967906882692852,1
2009-02,0.9999999999957491,1.0,0.9999999999476975,1.0,1
2009-03,0.9999999858012246,0.9999999978209492,1.0,0.9999999999989302,0
2009-04,0.999999999999894,0.9999999999999978,0.9999999999999786,1.0,0
2009-05,0.9999992664133309,0.9999999999165764,0.9999999844905916,0.9999999999560945,0
2009-06,0.9999999938808134,0.9999997293930982,0.9999831526192813,0.9999999997687639,1
2009-07,7.19494211976657e-05,0.8866571958436221,0.9962718195813246,0.9998565018907745,0
2009-08,0.001056276261835651,0.0006161139783418753,0.9963063643877461,0.8734870681479445,0
2009-09,0.9999999967479991,2.0770313598507041e-13,0.9999999997033063,2.6442520580336007e-35,0
2009-10,0.9999999999997663,0.9999999999999224,0.007526619170129126,0.9645266110176514,0
2009-11,0.0014192780898878413,5.39651427217688e-05,0.03112238400800153,4.6489528428175215e-05,0
2009-12,4.373765373524901e-06,0.004091318780820231,7.598120425282253e-06,0.0001558352932547988,0
2010-01,1.7884583038549335e-05,0.015847338327520923,0.003940216309081059,0.9328534047198529,1
2010-02,2.022299348779066e-06,5.986713531167103e-06,0.7478472340532327,0.004197173686095026,0
2010-03,8.762376733973445e-09,1.5168444922320547e-08,2.1703133949856353e-08,6.177708745428693e-08,0
2010-04,0.00012318753234269802,0.0003351223744333271,0.9826973314494634,0.626326939668739,1
2010-05,0.00017730158923029023,0.0003267879653982327,0.9999978211460516,0.9994347827562718,1
2010-06,0.0001410168426079483,3.602240343703633e-05,0.010777916899279101,0.030687813247702717,1
2010-07,1.822068879644243e-17,1.3064387310964603e-05,0.0009586357711826401,0.9999998904725886,0
2010-08,2.09150930244377e-06,4.929233439274433e-06,0.9762211464334699,0.7706458319649786,1
2010-09,2.809745196020122e-16,9.636680826129848e-13,0.9999999994378158,7.98078987361088e-08,0
2010-10,1.8414611704623006e-11,1.2962143532063537e-08,0.016593770923675272,0.19646728199415858,0
2010-11,4.4526608974428026e-08,1.3456102077900978e-08,0.9867709519308738,0.011198896647178904,0
2010-12,2.563798711262484e-15,9.311586257467784e-12,9.076261011711506e-10,1.4199230389577637e-06,0
2011-01,0.0020635911070495463,0.043099359424933155,0.9539869898979084,0.9078092322545317,0
2011-02,5.978022978571306e-10,7.235251165504294e-08,0.00044101244832711015,0.0227760886822449,0
2011-03,2.4538613116185478e-05,8.576487830257524e-06,0.9245100497840724,0.8220036376406655,0
2011-04,0.0005728826679462899,0.02572188300880041,0.9942823362523147,0.9977789590613892,0
2011-05,5.789033351218064e-07,1.1960232507531285e-07,0.003940655624856924,0.05439104161263472,1
2011-06,1.4451464236493476e-17,1.5151395433116618e-06,1.3165437956742873e-05,0.9538926182987713,0
2011-07,8.1496370134233e-14,4.395759556595618e-05,0.7850010616240346,0.9929070486238041,1
2011-08,2.977357063270126e-06,3.69958315806828e-05,0.9997581153198646,0.9773567632989925,1
2011-09,1.0286100522952705e-09,5.344173335062477e-13,0.9999999988145009,4.469244974306343e-15,1
2011-10,8.373384085754884e-09,0.9926290461050248,7.20826928677456e-08,0.9998580098940261,0
2011-11,0.00021967406886880147,0.019264044145039107,0.9979661008400462,0.5460252908698391,0
2011-12,1.5465766761731943e-05,1.0281966955189648e-08,0.050078273189450885,0.0008810015435101652,0
2012-01,4.636031927671726e-08,1.3516724485190881e-09,0.9996899471959965,1.0189863802646012e-11,0
